TransactionID,Date,SendingInstitution,ReceivingInstitution,AssetType,Network,Region,Amount_USD,SettlementStatus,SettlementTime_Seconds,TraditionalRail_Benchmark_Hours,Fee_BPS,Fee_USD
TXN100000,2026-04-13,JPMorgan,Barclays,Tokenised Bond,Public Blockchain,MEA,673141.12,Settled,97.7,55.6,3.72,250.41
TXN100001,2026-06-29,BNY Mellon,JPMorgan,Tokenised Deposit,Hybrid Network,UK,207600.84,Settled,29.6,26.2,3.48,72.25
TXN100002,2026-04-03,UBS,JPMorgan,Tokenised Real Estate Fund,Permissioned Ledger,APAC,13572.54,Settled,7.4,27.4,0.85,1.15
TXN100003,2026-01-15,JPMorgan,Citi,Tokenised Deposit,Public Blockchain,US,5289.62,Settled,41.9,48.7,1.19,0.63
TXN100004,2026-04-17,JPMorgan,BNY Mellon,Regulated Stablecoin,Permissioned Ledger,US,88868.62,Settled,3.9,44.6,2.85,25.33
TXN100005,2026-03-13,Standard Chartered,Barclays,Regulated Stablecoin,Hybrid Network,US,528718.59,Pending,,16.9,3.99,210.96
TXN100006,2026-07-08,Barclays,Deutsche Bank,Tokenised Equity,Permissioned Ledger,UK,73371.55,Settled,9.0,30.2,4.12,30.23
TXN100007,2026-01-21,UBS,JPMorgan,Tokenised Real Estate Fund,Public Blockchain,APAC,71997.43,Settled,67.1,22.8,1.04,7.49
TXN100008,2026-04-13,Barclays,BNY Mellon,Tokenised Equity,Public Blockchain,APAC,189516.1,Settled,46.1,35.2,2.22,42.07
TXN100009,2026-05-02,UBS,Citi,Tokenised Equity,Permissioned Ledger,UK,82360.5,Settled,1.0,46.6,1.89,15.57
TXN100010,2026-03-16,Standard Chartered,JPMorgan,Tokenised Equity,Permissioned Ledger,US,149212.77,Pending,,34.7,1.54,22.98
TXN100011,2026-03-29,Deutsche Bank,BNY Mellon,Regulated Stablecoin,Hybrid Network,EU,27303.88,Settled,16.6,43.3,1.85,5.05
TXN100012,2026-04-27,BNY Mellon,Standard Chartered,Tokenised Deposit,Hybrid Network,APAC,23041.01,Settled,16.9,38.4,2.59,5.97
TXN100013,2026-04-10,Barclays,Standard Chartered,Tokenised Deposit,Hybrid Network,EU,266526.39,Settled,27.4,53.2,2.95,78.63
TXN100014,2026-04-14,HSBC,Citi,Tokenised Deposit,Hybrid Network,EU,33426.55,Settled,45.1,57.2,2.68,8.96
TXN100015,2026-06-01,Standard Chartered,HSBC,Tokenised Deposit,Public Blockchain,APAC,15604.51,Settled,17.3,35.6,3.99,6.23
TXN100016,2026-05-11,BNY Mellon,JPMorgan,Tokenised Bond,Public Blockchain,APAC,91126.42,Settled,55.0,32.5,4.44,40.46
TXN100017,2026-05-30,UBS,Standard Chartered,Tokenised Equity,Permissioned Ledger,UK,7846.73,Settled,4.2,24.9,2.06,1.62
TXN100018,2026-02-22,Citi,Barclays,Tokenised Equity,Permissioned Ledger,UK,50753.16,Settled,5.4,29.7,0.88,4.47
TXN100019,2026-01-02,JPMorgan,UBS,Tokenised Bond,Public Blockchain,MEA,30760.03,Settled,51.1,51.4,4.16,12.8
TXN100020,2026-03-29,JPMorgan,HSBC,Tokenised Bond,Permissioned Ledger,APAC,98135.29,Settled,4.6,45.5,1.18,11.58
TXN100021,2026-06-07,Citi,BNY Mellon,Tokenised Bond,Public Blockchain,MEA,42045.78,Settled,49.0,47.3,3.69,15.51
TXN100022,2026-02-07,BNY Mellon,Standard Chartered,Tokenised Real Estate Fund,Hybrid Network,UK,117910.82,Settled,25.1,39.2,3.17,37.38
TXN100023,2026-05-10,Barclays,Citi,Regulated Stablecoin,Permissioned Ledger,EU,56470.02,Settled,11.6,67.1,3.38,19.09
TXN100024,2026-07-11,Deutsche Bank,BNY Mellon,Tokenised Equity,Permissioned Ledger,MEA,11656.85,Pending,,39.3,1.76,2.05
TXN100025,2026-07-07,JPMorgan,UBS,Tokenised Deposit,Hybrid Network,APAC,155093.39,Settled,30.5,25.9,3.8,58.94
TXN100026,2026-01-21,JPMorgan,BNY Mellon,Tokenised Deposit,Permissioned Ledger,APAC,21606.58,Settled,9.8,22.3,2.81,6.07
TXN100027,2026-06-10,BNY Mellon,Standard Chartered,Regulated Stablecoin,Hybrid Network,US,821873.8,Settled,28.7,26.5,1.8,147.94
TXN100028,2026-02-27,Citi,BNY Mellon,Regulated Stablecoin,Permissioned Ledger,UK,44733.07,Settled,6.2,32.0,1.94,8.68
TXN100029,2026-01-22,UBS,Citi,Tokenised Deposit,Public Blockchain,MEA,105087.35,Settled,74.5,44.0,3.16,33.21
TXN100030,2026-03-30,JPMorgan,Barclays,Tokenised Deposit,Hybrid Network,US,36565.89,Settled,13.6,20.2,2.03,7.42
TXN100031,2026-02-18,UBS,Standard Chartered,Tokenised Deposit,Permissioned Ledger,US,28196.92,Settled,7.3,41.1,3.93,11.08
TXN100032,2026-02-28,BNY Mellon,Barclays,Tokenised Deposit,Hybrid Network,EU,220615.61,Settled,45.6,42.8,3.04,67.07
TXN100033,2026-06-19,UBS,Standard Chartered,Tokenised Bond,Permissioned Ledger,MEA,1093421.77,Settled,7.3,31.8,0.55,60.14
TXN100034,2026-07-07,JPMorgan,UBS,Tokenised Bond,Permissioned Ledger,US,157790.81,Settled,5.3,28.1,4.01,63.27
TXN100035,2026-01-15,BNY Mellon,UBS,Tokenised Equity,Permissioned Ledger,UK,72647.64,Failed,,63.0,3.85,27.97
TXN100036,2026-07-09,Citi,JPMorgan,Tokenised Deposit,Permissioned Ledger,US,65582.74,Failed,,24.9,0.88,5.77
TXN100037,2026-07-09,Citi,HSBC,Tokenised Real Estate Fund,Public Blockchain,UK,81624.09,Settled,49.6,38.9,4.14,33.79
TXN100038,2026-06-24,UBS,Citi,Tokenised Bond,Permissioned Ledger,US,924273.33,Settled,4.7,50.7,3.31,305.93
TXN100039,2026-07-09,BNY Mellon,Citi,Tokenised Deposit,Public Blockchain,APAC,582133.86,Settled,42.1,24.8,2.39,139.13
TXN100040,2026-02-20,JPMorgan,BNY Mellon,Tokenised Real Estate Fund,Permissioned Ledger,UK,68736.28,Settled,6.6,33.7,2.38,16.36
TXN100041,2026-04-18,HSBC,BNY Mellon,Tokenised Bond,Permissioned Ledger,US,88970.52,Settled,3.5,45.1,1.33,11.83
TXN100042,2026-02-24,UBS,JPMorgan,Tokenised Bond,Permissioned Ledger,UK,245198.52,Settled,6.3,41.8,1.67,40.95
TXN100043,2026-03-05,Deutsche Bank,UBS,Tokenised Real Estate Fund,Permissioned Ledger,MEA,2084683.08,Settled,8.4,52.0,4.02,838.04
TXN100044,2026-05-11,BNY Mellon,Citi,Regulated Stablecoin,Permissioned Ledger,US,160417.98,Settled,7.7,31.6,3.42,54.86
TXN100045,2026-02-20,UBS,Citi,Tokenised Equity,Public Blockchain,MEA,13897.01,Settled,78.4,29.5,4.32,6.0
TXN100046,2026-05-15,Citi,Standard Chartered,Tokenised Equity,Permissioned Ledger,US,171770.53,Settled,9.6,45.8,3.7,63.56
TXN100047,2026-01-21,Barclays,JPMorgan,Regulated Stablecoin,Permissioned Ledger,APAC,12500.14,Settled,7.4,46.3,1.78,2.23
TXN100048,2026-03-14,Barclays,Standard Chartered,Regulated Stablecoin,Permissioned Ledger,MEA,276240.64,Settled,2.8,38.5,3.99,110.22
TXN100049,2026-06-16,Citi,UBS,Regulated Stablecoin,Permissioned Ledger,EU,160591.67,Settled,9.7,47.0,2.63,42.24
TXN100050,2026-01-18,BNY Mellon,Barclays,Tokenised Bond,Permissioned Ledger,EU,28532.82,Settled,9.9,52.0,0.77,2.2
TXN100051,2026-05-12,UBS,BNY Mellon,Tokenised Bond,Hybrid Network,APAC,49857.06,Settled,15.6,22.9,3.66,18.25
TXN100052,2026-03-30,Citi,JPMorgan,Tokenised Bond,Public Blockchain,US,418657.89,Settled,69.1,35.1,2.6,108.85
TXN100053,2026-03-01,Deutsche Bank,UBS,Tokenised Bond,Permissioned Ledger,APAC,38204.46,Settled,8.7,10.6,2.02,7.72
TXN100054,2026-01-14,Deutsche Bank,JPMorgan,Tokenised Deposit,Permissioned Ledger,US,253569.46,Settled,4.4,16.5,1.37,34.74
TXN100055,2026-01-09,BNY Mellon,JPMorgan,Tokenised Real Estate Fund,Permissioned Ledger,APAC,313086.15,Settled,8.1,41.0,1.04,32.56
TXN100056,2026-03-31,UBS,Citi,Tokenised Deposit,Permissioned Ledger,US,42768.84,Settled,12.8,42.7,0.96,4.11
TXN100057,2026-02-22,BNY Mellon,Citi,Tokenised Real Estate Fund,Permissioned Ledger,APAC,40777.09,Failed,,37.1,2.93,11.95
TXN100058,2026-05-10,Standard Chartered,BNY Mellon,Tokenised Deposit,Permissioned Ledger,APAC,1835452.8,Failed,,29.8,3.85,706.65
TXN100059,2026-03-25,Standard Chartered,HSBC,Tokenised Bond,Hybrid Network,MEA,24848.27,Settled,23.3,30.3,1.58,3.93
TXN100060,2026-04-02,UBS,JPMorgan,Tokenised Real Estate Fund,Public Blockchain,US,91283.01,Settled,52.8,43.6,3.44,31.4
TXN100061,2026-04-21,Deutsche Bank,Barclays,Tokenised Deposit,Permissioned Ledger,EU,25583.32,Settled,5.9,41.5,3.91,10.0
TXN100062,2026-07-07,Barclays,Standard Chartered,Regulated Stablecoin,Hybrid Network,US,84596.84,Settled,42.7,31.7,3.68,31.13
TXN100063,2026-07-18,JPMorgan,Deutsche Bank,Tokenised Deposit,Hybrid Network,APAC,86176.93,Pending,,43.8,0.87,7.5
TXN100064,2026-06-21,HSBC,Standard Chartered,Tokenised Equity,Permissioned Ledger,EU,1934896.24,Settled,10.9,61.0,4.17,806.85
TXN100065,2026-01-08,Standard Chartered,BNY Mellon,Tokenised Bond,Public Blockchain,MEA,13299.53,Failed,,32.0,3.56,4.73
TXN100066,2026-06-24,JPMorgan,UBS,Regulated Stablecoin,Hybrid Network,UK,15832.24,Settled,17.1,22.8,0.62,0.98
TXN100067,2026-02-04,Standard Chartered,BNY Mellon,Tokenised Real Estate Fund,Permissioned Ledger,EU,19833.04,Settled,11.4,47.4,3.27,6.49
TXN100068,2026-03-22,Deutsche Bank,BNY Mellon,Tokenised Deposit,Permissioned Ledger,APAC,18719.95,Settled,5.9,29.6,0.56,1.05
TXN100069,2026-06-13,BNY Mellon,Deutsche Bank,Regulated Stablecoin,Hybrid Network,UK,182335.24,Settled,29.7,41.8,4.04,73.66
TXN100070,2026-02-19,Barclays,Citi,Regulated Stablecoin,Permissioned Ledger,UK,209067.13,Settled,4.6,61.3,2.81,58.75
TXN100071,2026-04-14,JPMorgan,Citi,Regulated Stablecoin,Permissioned Ledger,US,166039.4,Settled,6.6,33.4,2.5,41.51
TXN100072,2026-05-12,BNY Mellon,Standard Chartered,Tokenised Equity,Public Blockchain,APAC,214423.51,Settled,84.7,41.1,2.11,45.24
TXN100073,2026-01-02,Citi,Barclays,Tokenised Deposit,Permissioned Ledger,US,38531.88,Settled,11.5,39.4,2.7,10.4
TXN100074,2026-05-14,BNY Mellon,UBS,Tokenised Deposit,Permissioned Ledger,US,19710.86,Settled,9.0,36.1,2.3,4.53
TXN100075,2026-02-23,HSBC,UBS,Regulated Stablecoin,Public Blockchain,APAC,220758.01,Settled,9.5,57.6,1.44,31.79
TXN100076,2026-04-16,Barclays,Citi,Tokenised Deposit,Permissioned Ledger,APAC,22915.21,Settled,10.7,14.0,1.04,2.38
TXN100077,2026-01-04,BNY Mellon,Deutsche Bank,Regulated Stablecoin,Permissioned Ledger,APAC,57727.62,Settled,10.1,47.2,2.87,16.57
TXN100078,2026-02-23,HSBC,BNY Mellon,Tokenised Equity,Public Blockchain,UK,76143.2,Settled,38.9,38.5,4.13,31.45
TXN100079,2026-07-10,JPMorgan,Standard Chartered,Tokenised Real Estate Fund,Permissioned Ledger,APAC,237499.96,Settled,10.2,37.3,3.88,92.15
TXN100080,2026-05-26,BNY Mellon,Standard Chartered,Regulated Stablecoin,Permissioned Ledger,MEA,76799.93,Settled,8.2,23.3,0.92,7.07
TXN100081,2026-02-13,UBS,JPMorgan,Tokenised Equity,Public Blockchain,EU,237050.84,Settled,11.5,35.6,3.96,93.87
TXN100082,2026-06-11,Citi,Standard Chartered,Tokenised Bond,Permissioned Ledger,US,298241.36,Settled,7.0,31.2,3.13,93.35
TXN100083,2026-07-09,HSBC,BNY Mellon,Tokenised Bond,Hybrid Network,UK,112115.1,Settled,31.7,34.0,1.0,11.21
TXN100084,2026-01-14,Barclays,BNY Mellon,Regulated Stablecoin,Hybrid Network,APAC,18567.96,Settled,31.4,32.1,1.97,3.66
TXN100085,2026-04-05,Citi,UBS,Tokenised Deposit,Permissioned Ledger,EU,131156.12,Settled,8.9,28.4,1.47,19.28
TXN100086,2026-02-17,Barclays,Deutsche Bank,Tokenised Real Estate Fund,Hybrid Network,UK,45096.2,Settled,1.0,45.3,2.88,12.99
TXN100087,2026-01-15,Citi,Standard Chartered,Tokenised Deposit,Permissioned Ledger,APAC,2610.1,Settled,12.2,29.4,2.32,0.61
TXN100088,2026-07-19,BNY Mellon,JPMorgan,Tokenised Deposit,Permissioned Ledger,APAC,143590.33,Pending,,31.8,0.57,8.18
TXN100089,2026-07-09,Barclays,JPMorgan,Tokenised Deposit,Public Blockchain,EU,28404.92,Settled,79.1,59.0,2.77,7.87
TXN100090,2026-02-09,JPMorgan,Barclays,Regulated Stablecoin,Public Blockchain,APAC,143098.13,Settled,73.5,8.7,1.71,24.47
TXN100091,2026-03-23,Deutsche Bank,Standard Chartered,Tokenised Deposit,Permissioned Ledger,EU,17726.66,Settled,5.9,35.5,3.19,5.65
TXN100092,2026-04-21,JPMorgan,Standard Chartered,Regulated Stablecoin,Hybrid Network,MEA,321107.33,Settled,38.5,53.6,1.32,42.39
TXN100093,2026-02-22,HSBC,JPMorgan,Regulated Stablecoin,Public Blockchain,UK,91405.53,Settled,67.9,53.0,1.09,9.96
TXN100094,2026-01-24,Deutsche Bank,BNY Mellon,Tokenised Equity,Public Blockchain,APAC,301383.39,Settled,42.0,27.5,3.26,98.25
TXN100095,2026-06-03,HSBC,Deutsche Bank,Regulated Stablecoin,Hybrid Network,APAC,64926.45,Settled,14.1,34.1,4.33,28.11
TXN100096,2026-07-07,Standard Chartered,JPMorgan,Tokenised Bond,Permissioned Ledger,MEA,68871.9,Pending,,20.3,2.33,16.05
TXN100097,2026-05-04,UBS,Citi,Regulated Stablecoin,Hybrid Network,APAC,76815.3,Settled,16.6,40.8,4.48,34.41
TXN100098,2026-02-10,BNY Mellon,UBS,Tokenised Bond,Permissioned Ledger,APAC,63726.12,Pending,,30.9,2.87,18.29
TXN100099,2026-06-06,Citi,UBS,Tokenised Deposit,Public Blockchain,EU,7313.14,Settled,70.7,45.1,1.92,1.4
TXN100100,2026-01-15,Deutsche Bank,Barclays,Regulated Stablecoin,Permissioned Ledger,EU,234445.77,Pending,,27.3,1.43,33.53
TXN100101,2026-02-14,UBS,JPMorgan,Tokenised Bond,Public Blockchain,APAC,233815.32,Settled,59.9,54.7,0.55,12.86
TXN100102,2026-03-06,JPMorgan,HSBC,Tokenised Deposit,Permissioned Ledger,APAC,11783.67,Settled,9.8,46.6,3.42,4.03
TXN100103,2026-03-30,Barclays,BNY Mellon,Tokenised Deposit,Permissioned Ledger,UK,33265.72,Settled,18.5,18.4,2.43,8.08
TXN100104,2026-03-12,UBS,BNY Mellon,Regulated Stablecoin,Permissioned Ledger,US,6528.25,Settled,6.7,50.9,2.16,1.41
TXN100105,2026-01-09,UBS,Barclays,Tokenised Equity,Hybrid Network,EU,4959.12,Settled,25.1,24.6,1.38,0.68
TXN100106,2026-03-29,JPMorgan,Citi,Tokenised Deposit,Permissioned Ledger,UK,14601.9,Settled,10.1,56.2,2.75,4.02
TXN100107,2026-05-09,Barclays,JPMorgan,Tokenised Bond,Permissioned Ledger,US,30174.19,Settled,10.3,32.5,4.29,12.94
TXN100108,2026-05-16,JPMorgan,Barclays,Tokenised Equity,Permissioned Ledger,APAC,69304.87,Settled,10.9,28.1,1.68,11.64
TXN100109,2026-03-04,Citi,Barclays,Regulated Stablecoin,Permissioned Ledger,UK,21364.75,Settled,10.0,31.6,2.34,5.0
TXN100110,2026-05-19,UBS,HSBC,Tokenised Deposit,Hybrid Network,MEA,25620.67,Settled,37.1,36.8,2.35,6.02
TXN100111,2026-03-22,Deutsche Bank,JPMorgan,Tokenised Deposit,Permissioned Ledger,MEA,328897.07,Settled,9.0,30.2,0.5,16.44
TXN100112,2026-05-16,HSBC,Citi,Tokenised Bond,Public Blockchain,MEA,28092.42,Settled,48.2,35.7,4.03,11.32
TXN100113,2026-06-12,Deutsche Bank,JPMorgan,Tokenised Deposit,Permissioned Ledger,APAC,44973.97,Settled,11.7,45.8,3.89,17.49
TXN100114,2026-06-12,Deutsche Bank,Standard Chartered,Tokenised Bond,Permissioned Ledger,MEA,32737.43,Settled,9.4,45.4,3.73,12.21
TXN100115,2026-02-02,Standard Chartered,JPMorgan,Tokenised Real Estate Fund,Public Blockchain,MEA,43174.25,Settled,52.9,23.5,2.16,9.33
TXN100116,2026-05-03,JPMorgan,Barclays,Tokenised Equity,Permissioned Ledger,EU,125369.96,Settled,8.3,16.9,3.36,42.12
TXN100117,2026-01-05,Standard Chartered,HSBC,Tokenised Equity,Permissioned Ledger,UK,167848.21,Settled,4.4,33.8,1.22,20.48
TXN100118,2026-02-10,Standard Chartered,UBS,Tokenised Deposit,Hybrid Network,EU,34564.29,Settled,31.8,29.6,1.88,6.5
TXN100119,2026-01-28,Deutsche Bank,Standard Chartered,Tokenised Deposit,Hybrid Network,US,120816.91,Settled,32.4,49.7,2.24,27.06
TXN100120,2026-05-15,Barclays,Citi,Tokenised Bond,Permissioned Ledger,EU,147886.31,Settled,10.5,32.5,3.86,57.08
TXN100121,2026-03-13,JPMorgan,Barclays,Tokenised Deposit,Public Blockchain,EU,54552.62,Settled,75.5,24.0,3.77,20.57
TXN100122,2026-01-12,Standard Chartered,Citi,Tokenised Bond,Hybrid Network,US,47335.29,Settled,5.5,41.0,3.74,17.7
TXN100123,2026-06-11,Citi,Standard Chartered,Regulated Stablecoin,Public Blockchain,EU,40382.74,Settled,81.2,43.4,1.5,6.06
TXN100124,2026-02-02,JPMorgan,Deutsche Bank,Regulated Stablecoin,Public Blockchain,US,25295.45,Settled,50.1,21.3,2.15,5.44
TXN100125,2026-02-17,UBS,JPMorgan,Tokenised Real Estate Fund,Permissioned Ledger,APAC,34028.76,Settled,6.4,15.5,3.24,11.03
TXN100126,2026-05-31,Deutsche Bank,JPMorgan,Tokenised Deposit,Permissioned Ledger,APAC,148925.79,Failed,,39.2,3.64,54.21
TXN100127,2026-03-03,Standard Chartered,JPMorgan,Regulated Stablecoin,Hybrid Network,EU,37478.13,Pending,,35.5,0.91,3.41
TXN100128,2026-02-06,BNY Mellon,UBS,Tokenised Bond,Hybrid Network,UK,25962.68,Settled,42.0,22.7,1.56,4.05
TXN100129,2026-04-09,UBS,Standard Chartered,Tokenised Deposit,Permissioned Ledger,EU,6907.64,Settled,8.6,36.8,2.91,2.01
TXN100130,2026-06-21,JPMorgan,UBS,Tokenised Deposit,Permissioned Ledger,APAC,77383.24,Settled,5.6,54.0,1.57,12.15
TXN100131,2026-04-14,JPMorgan,Barclays,Tokenised Deposit,Hybrid Network,US,303180.58,Settled,33.2,54.5,1.75,53.06
TXN100132,2026-02-04,Barclays,Deutsche Bank,Tokenised Deposit,Public Blockchain,MEA,50309.26,Settled,39.9,20.4,4.26,21.43
TXN100133,2026-07-12,UBS,JPMorgan,Tokenised Deposit,Public Blockchain,APAC,115752.04,Settled,42.7,56.3,0.56,6.48
TXN100134,2026-04-11,Standard Chartered,UBS,Regulated Stablecoin,Permissioned Ledger,APAC,153139.46,Pending,,53.1,1.36,20.83
TXN100135,2026-06-24,Deutsche Bank,JPMorgan,Regulated Stablecoin,Permissioned Ledger,US,148287.82,Settled,8.7,31.6,4.16,61.69
TXN100136,2026-05-11,Standard Chartered,Barclays,Tokenised Bond,Permissioned Ledger,MEA,84373.38,Settled,3.4,50.6,1.32,11.14
TXN100137,2026-01-01,HSBC,UBS,Regulated Stablecoin,Hybrid Network,APAC,230282.57,Settled,17.2,27.7,1.58,36.38
TXN100138,2026-01-05,Barclays,UBS,Tokenised Deposit,Permissioned Ledger,MEA,108926.52,Settled,4.0,15.4,1.83,19.93
TXN100139,2026-05-22,BNY Mellon,Standard Chartered,Tokenised Equity,Permissioned Ledger,APAC,314106.02,Pending,,38.5,2.97,93.29
TXN100140,2026-04-13,Deutsche Bank,HSBC,Regulated Stablecoin,Public Blockchain,US,10008.05,Settled,53.2,28.8,3.96,3.96
TXN100141,2026-01-27,Standard Chartered,Citi,Tokenised Real Estate Fund,Hybrid Network,EU,241964.89,Settled,46.4,27.0,1.49,36.05
TXN100142,2026-05-17,Deutsche Bank,JPMorgan,Regulated Stablecoin,Permissioned Ledger,APAC,98491.05,Settled,6.6,36.0,3.64,35.85
TXN100143,2026-01-15,UBS,HSBC,Regulated Stablecoin,Permissioned Ledger,MEA,1785.79,Settled,10.9,23.9,0.55,0.1
TXN100144,2026-03-31,UBS,Barclays,Tokenised Bond,Hybrid Network,MEA,167289.89,Settled,28.4,42.8,0.94,15.73
TXN100145,2026-02-11,Barclays,Citi,Tokenised Deposit,Permissioned Ledger,APAC,210794.72,Settled,3.1,40.2,3.47,73.15
TXN100146,2026-05-04,Citi,Barclays,Tokenised Deposit,Hybrid Network,MEA,13504.8,Settled,11.4,44.5,4.01,5.42
TXN100147,2026-06-28,Barclays,BNY Mellon,Tokenised Deposit,Permissioned Ledger,US,60581.79,Settled,8.9,10.1,3.68,22.29
TXN100148,2026-03-04,Deutsche Bank,BNY Mellon,Tokenised Equity,Permissioned Ledger,US,2927.43,Settled,4.8,26.8,2.46,0.72
TXN100149,2026-04-06,HSBC,Barclays,Tokenised Bond,Public Blockchain,MEA,408802.09,Settled,62.2,56.9,1.15,47.01
TXN100150,2026-02-21,JPMorgan,Standard Chartered,Tokenised Deposit,Permissioned Ledger,US,256413.36,Settled,13.5,32.9,1.74,44.62
TXN100151,2026-04-06,HSBC,Barclays,Tokenised Deposit,Permissioned Ledger,US,38607.94,Settled,9.3,54.7,4.44,17.14
TXN100152,2026-05-12,JPMorgan,Citi,Tokenised Bond,Public Blockchain,UK,245660.24,Settled,81.1,36.0,2.15,52.82
TXN100153,2026-05-31,UBS,Deutsche Bank,Tokenised Equity,Public Blockchain,MEA,11088.69,Settled,75.2,35.9,2.26,2.51
TXN100154,2026-05-23,JPMorgan,BNY Mellon,Tokenised Real Estate Fund,Public Blockchain,MEA,50427.25,Settled,63.5,3.8,0.57,2.87
TXN100155,2026-06-20,UBS,BNY Mellon,Tokenised Equity,Permissioned Ledger,MEA,83905.43,Settled,7.2,40.4,3.36,28.19
TXN100156,2026-01-29,Barclays,BNY Mellon,Tokenised Equity,Public Blockchain,UK,97123.35,Settled,67.8,35.4,1.83,17.77
TXN100157,2026-02-05,JPMorgan,UBS,Tokenised Equity,Permissioned Ledger,US,293795.59,Settled,6.8,5.6,0.55,16.16
TXN100158,2026-01-13,Citi,HSBC,Tokenised Bond,Public Blockchain,EU,41839.12,Settled,78.8,42.0,0.77,3.22
TXN100159,2026-06-09,UBS,Citi,Regulated Stablecoin,Permissioned Ledger,EU,63420.88,Settled,5.7,34.9,3.42,21.69
TXN100160,2026-03-12,Citi,JPMorgan,Regulated Stablecoin,Public Blockchain,APAC,192179.68,Settled,85.5,43.8,2.44,46.89
TXN100161,2026-07-06,BNY Mellon,UBS,Tokenised Deposit,Hybrid Network,MEA,13643.37,Settled,26.0,29.1,2.2,3.0
TXN100162,2026-03-27,HSBC,Citi,Tokenised Bond,Public Blockchain,EU,21135.83,Settled,90.1,21.2,2.06,4.35
TXN100163,2026-01-28,BNY Mellon,UBS,Tokenised Deposit,Permissioned Ledger,US,327659.24,Settled,9.6,40.9,2.67,87.49
TXN100164,2026-03-07,Citi,Standard Chartered,Tokenised Equity,Permissioned Ledger,MEA,19892.06,Settled,6.0,22.9,1.36,2.71
TXN100165,2026-06-19,JPMorgan,Barclays,Tokenised Bond,Hybrid Network,APAC,21586.2,Settled,45.8,53.1,1.03,2.22
TXN100166,2026-02-14,Deutsche Bank,BNY Mellon,Tokenised Bond,Permissioned Ledger,UK,14479.45,Settled,10.7,38.1,1.8,2.61
TXN100167,2026-03-03,JPMorgan,Barclays,Tokenised Deposit,Permissioned Ledger,EU,122912.33,Settled,11.1,42.0,0.75,9.22
TXN100168,2026-07-04,UBS,BNY Mellon,Tokenised Equity,Hybrid Network,APAC,26006.55,Settled,29.6,33.7,1.56,4.06
TXN100169,2026-05-14,BNY Mellon,JPMorgan,Tokenised Bond,Hybrid Network,MEA,8661.09,Settled,28.7,41.6,2.22,1.92
TXN100170,2026-01-28,Citi,Barclays,Tokenised Deposit,Public Blockchain,MEA,25076.38,Settled,65.5,44.9,3.33,8.35
TXN100171,2026-01-28,UBS,HSBC,Tokenised Real Estate Fund,Hybrid Network,APAC,128918.16,Settled,32.6,43.3,3.93,50.66
TXN100172,2026-04-18,BNY Mellon,JPMorgan,Tokenised Real Estate Fund,Permissioned Ledger,MEA,40753.87,Settled,11.3,23.6,1.03,4.2
TXN100173,2026-02-13,Deutsche Bank,Standard Chartered,Tokenised Bond,Permissioned Ledger,US,254579.55,Settled,8.7,48.5,2.82,71.79
TXN100174,2026-03-25,BNY Mellon,Deutsche Bank,Tokenised Real Estate Fund,Public Blockchain,US,81135.13,Settled,38.6,48.7,2.02,16.39
TXN100175,2026-01-30,Barclays,Citi,Tokenised Bond,Public Blockchain,US,77541.88,Settled,54.0,2.0,3.94,30.55
TXN100176,2026-07-09,BNY Mellon,Citi,Tokenised Bond,Hybrid Network,US,33897.93,Pending,,38.4,0.72,2.44
TXN100177,2026-03-16,JPMorgan,Deutsche Bank,Regulated Stablecoin,Hybrid Network,EU,139819.18,Settled,32.5,43.2,2.16,30.2
TXN100178,2026-05-08,BNY Mellon,Barclays,Tokenised Deposit,Permissioned Ledger,EU,38728.11,Settled,9.0,54.6,3.85,14.91
TXN100179,2026-04-02,JPMorgan,Citi,Tokenised Equity,Hybrid Network,US,181710.27,Settled,36.8,39.6,3.07,55.79
TXN100180,2026-07-09,HSBC,Deutsche Bank,Tokenised Deposit,Public Blockchain,APAC,20959.22,Settled,57.0,47.2,4.03,8.45
TXN100181,2026-05-09,BNY Mellon,Deutsche Bank,Regulated Stablecoin,Permissioned Ledger,MEA,84090.32,Pending,,53.9,3.7,31.11
TXN100182,2026-05-01,UBS,Citi,Tokenised Equity,Permissioned Ledger,US,83209.33,Settled,10.5,35.6,3.89,32.37
