TransactionID,Date,SendingInstitution,ReceivingInstitution,AssetType,Network,Region,Amount_USD,SettlementStatus,SettlementTime_Seconds,TraditionalRail_Benchmark_Hours,Fee_BPS,Fee_USD,SettlementTime_Missing_Reason,log_amount,z_score,is_anomalous
TXN100000,2026-04-13,JPMorgan,Barclays,Tokenised Bond,Public Blockchain,MEA,673141.12,Settled,97.7,55.6,3.72,250.41,N/A,13.419711760181245,1.8824835888113371,False
TXN100001,2026-06-29,BNY Mellon,JPMorgan,Tokenised Deposit,Hybrid Network,UK,207600.84,Settled,29.6,26.2,3.48,72.25,N/A,12.243377293433051,0.9774232634418429,False
TXN100002,2026-04-03,UBS,JPMorgan,Tokenised Real Estate Fund,Permissioned Ledger,APAC,13572.54,Settled,7.4,27.4,0.85,1.15,N/A,9.515877588373584,-1.121088546154515,False
TXN100003,2026-01-15,JPMorgan,Citi,Tokenised Deposit,Public Blockchain,US,5289.62,Settled,41.9,48.7,1.19,0.63,N/A,8.573690720253127,-1.845997980949221,False
TXN100004,2026-04-17,JPMorgan,BNY Mellon,Regulated Stablecoin,Permissioned Ledger,US,88868.62,Settled,3.9,44.6,2.85,25.33,N/A,11.394925630814749,0.32463278629773895,False
TXN100005,2026-03-13,Standard Chartered,Barclays,Regulated Stablecoin,Hybrid Network,US,528718.59,Pending,,16.9,3.99,210.96,Pending,13.178213494686325,1.6966771664685427,False
TXN100006,2026-07-08,Barclays,Deutsche Bank,Tokenised Equity,Permissioned Ledger,UK,73371.55,Settled,9.0,30.2,4.12,30.23,N/A,11.203305166453685,0.17720186020960468,False
TXN100007,2026-01-21,UBS,JPMorgan,Tokenised Real Estate Fund,Public Blockchain,APAC,71997.43,Settled,67.1,22.8,1.04,7.49,N/A,11.184399592204892,0.1626560948132974,False
TXN100008,2026-04-13,Barclays,BNY Mellon,Tokenised Equity,Public Blockchain,APAC,189516.1,Settled,46.1,35.2,2.22,42.07,N/A,12.152234536900481,0.9072989108752887,False
TXN100009,2026-05-02,UBS,Citi,Tokenised Equity,Permissioned Ledger,UK,82360.5,Settled,1.0,46.6,1.89,15.57,N/A,11.3188733737005,0.2661189175685652,False
